event_id,user_id,timestamp,event_type,amount,city,device,ip_address,is_fraud,scenario
7147f63c,User_004,2025-01-01 04:29:49,login,0.0,Lezhë,Desktop_Mac,202.235.89.4,1,fraud
ac7f1b84,User_001,2025-01-01 11:52:59,payment,0.0,Athens,Tablet_Android,13.5.33.112,1,fraud
50247a16,User_015,2025-01-01 13:37:36,view_balance,0.0,Berat,Desktop_Mac,205.19.7.56,0,normal
e443660d,User_006,2025-01-01 14:22:57,view_balance,0.0,Berat,Tablet_Android,17.80.14.221,0,normal
309700e9,User_005,2025-01-01 14:36:12,change_password,0.0,Kavajë,Tablet_Android,50.223.154.207,0,normal
b12e8633,User_011,2025-01-01 21:19:27,login,0.0,Vlorë,Desktop_Mac,126.230.207.133,0,normal
6a6fa2b2,User_001,2025-01-02 00:32:40,payment,341.5,Korçë,Tablet_Android,1.111.153.12,0,normal
fd0bf243,User_017,2025-01-02 01:27:53,login,0.0,Shkodër,Mobile_Android,169.227.59.103,0,normal
2f587652,User_016,2025-01-02 21:17:16,view_balance,0.0,Elbasan,Mobile_Android,76.220.220.195,0,normal
a6814828,User_016,2025-01-02 23:09:37,failed_login,0.0,Elbasan,Mobile_Android,195.145.93.111,0,normal
a61b2dea,User_014,2025-01-04 12:33:22,view_balance,0.0,Kavajë,Tablet_iPad,36.122.115.106,0,normal
b3accbb4,User_003,2025-01-04 14:37:14,logout,0.0,Sarandë,Mobile_iOS,136.192.253.177,0,normal
29ee772a,User_012,2025-01-04 22:05:31,transfer,9169.15,Korçë,Mobile_iOS,61.218.175.194,1,fraud
158171d9,User_002,2025-01-05 11:26:31,view_balance,0.0,Shkodër,Tablet_iPad,35.218.208.52,0,normal
86e4cdf4,User_006,2025-01-05 14:21:46,view_balance,0.0,Berat,Tablet_Android,159.105.157.225,0,normal
b75085ec,User_011,2025-01-05 16:55:19,payment,56.29,Vlorë,Desktop_Mac,23.22.239.128,0,normal
53466c28,User_005,2025-01-05 18:58:13,view_balance,0.0,Kavajë,Tablet_Android,172.90.74.41,0,normal
cc53cfc3,User_013,2025-01-05 22:55:32,change_password,0.0,Kavajë,Tablet_Android,49.211.175.6,0,normal
29c1665a,User_015,2025-01-05 23:45:49,change_password,0.0,Berat,Desktop_Mac,136.161.108.187,0,normal
198e83ed,User_017,2025-01-06 18:55:37,transfer,224.19,Shkodër,Mobile_Android,27.6.67.220,0,normal
fab96904,User_019,2025-01-07 02:46:22,view_balance,0.0,Berat,Desktop_Windows,148.27.150.166,0,normal
787cc3c0,User_001,2025-01-07 05:14:17,view_balance,0.0,Korçë,Tablet_Android,209.38.21.222,0,normal
3316ac4f,User_012,2025-01-07 10:32:05,payment,393.27,Korçë,Mobile_iOS,190.244.220.47,0,normal
bd177bea,User_011,2025-01-07 15:44:58,failed_login,0.0,Vlorë,Desktop_Mac,34.181.242.104,0,normal
06a16776,User_004,2025-01-07 16:08:35,failed_login,0.0,Lezhë,Desktop_Mac,201.93.239.21,0,normal
4f7a3edc,User_016,2025-01-08 03:39:03,transfer,90.57,Elbasan,Mobile_Android,10.132.216.46,0,normal
07fe3d77,User_005,2025-01-08 13:22:29,transfer,231.76,Kavajë,Tablet_Android,211.43.47.107,0,normal
bc65915c,User_017,2025-01-09 02:19:57,view_balance,0.0,Shkodër,Mobile_Android,223.48.136.113,0,normal
548ee896,User_003,2025-01-12 02:41:26,transfer,12189.95,Sarandë,Mobile_iOS,172.243.83.49,1,fraud
6e18d277,User_015,2025-01-12 04:27:19,transfer,724.69,Berat,Mobile_iOS,8.185.144.3,1,fraud
44abf353,User_011,2025-01-12 09:31:15,failed_login,0.0,Vlorë,Desktop_Mac,17.187.197.52,0,normal
7efd4dc0,User_016,2025-01-12 16:15:11,failed_login,0.0,Elbasan,Mobile_Android,113.51.119.57,0,normal
5a27f84d,User_011,2025-01-13 04:32:23,change_password,0.0,Vlorë,Desktop_Mac,55.134.30.201,0,normal
43e99a3b,User_016,2025-01-13 08:51:35,login,0.0,Elbasan,Mobile_Android,216.215.4.203,0,normal
5589b9a9,User_020,2025-01-13 12:41:49,login,0.0,Vlorë,Mobile_iOS,6.82.169.117,0,normal
faeceed5,User_016,2025-01-13 15:34:18,payment,131.79,Elbasan,Mobile_Android,10.194.205.34,0,normal
2b5936ca,User_020,2025-01-14 08:14:20,login,0.0,Vlorë,Mobile_iOS,172.146.63.82,0,normal
