transaction_id,user_id,transaction_amount,hour_of_day,is_new_device,is_new_ip,is_foreign_country,distance_from_usual_km,is_phishing_detected,is_fraud_label
TXN_2467492EAB,USR_1064,80.79,8,0,0,0,5.84,0,0
TXN_A2703099EF,USR_7123,52.76,14,0,0,0,13.15,0,0
TXN_4DEB8B2660,USR_9478,30.15,16,0,0,0,21.83,0,0
TXN_87D8585D17,USR_6247,89.03,22,0,0,1,10.54,0,0
TXN_8504DC0F68,USR_1074,18.35,15,0,0,0,0.26,0,0
TXN_5F59090AF3,USR_9914,34.88,14,0,0,0,5.22,0,0
TXN_6D4EF996BE,USR_1901,44.67,11,0,0,1,46.07,0,0
TXN_A7A51E9038,USR_4110,43.91,15,1,1,0,13.99,0,0
TXN_6122B64C88,USR_6006,90.77,8,0,0,0,0.28,0,0
TXN_E446C12284,USR_1460,185.44,14,0,1,0,7.76,0,0
TXN_9D286BADB5,USR_1846,13.19,1,0,0,0,43.25,0,0
TXN_CF27CA3C66,USR_8697,15.78,22,0,0,0,0.83,0,0
TXN_1129988ED4,USR_7806,126.49,13,0,0,0,28.49,0,0
TXN_1DF35B8D05,USR_3488,22.33,20,0,0,0,1.43,0,0
TXN_6FD05DF01A,USR_7634,107.46,19,0,0,1,6.35,0,0
TXN_79CC0F040A,USR_9156,334.78,20,1,0,0,16.8,0,0
TXN_AB7A9D3D21,USR_9776,10.15,9,0,0,0,5.77,0,0
TXN_62B997B2E3,USR_8934,25.34,21,0,0,0,5.57,0,0
TXN_9BE3C50AAD,USR_9378,14.68,17,0,0,0,21.32,0,0
TXN_FD641E58C6,USR_5889,75.26,1,0,0,0,15.71,0,0
TXN_38F64EBCC7,USR_1096,20.12,0,0,0,0,8.11,0,0
TXN_31C479BB14,USR_3728,145.74,1,0,0,0,52.14,0,0
TXN_71E9E9CA2B,USR_2392,7.21,19,1,0,0,13.19,0,0
TXN_F0F725AA30,USR_7811,23.23,12,0,0,0,2.9,0,0
TXN_47A70635C8,USR_9771,4761.77,5,1,0,0,7925.12,1,1
TXN_5E803FD607,USR_2409,7.2,15,1,0,0,12.9,0,0
TXN_87335B10D0,USR_9933,24.94,7,0,0,1,13.01,0,0
TXN_1B964BC7B7,USR_5063,111.96,10,0,0,0,15.4,0,0
TXN_F3E229C463,USR_1799,3535.76,2,1,1,1,7595.96,0,1
TXN_5CF9E6793A,USR_1464,103.1,20,0,0,0,30.68,0,0
TXN_6E903F7146,USR_7749,108.06,0,0,0,0,35.3,0,0
TXN_013043EEC6,USR_2673,312.51,14,0,0,0,5.59,0,0
TXN_93C1FE5AA8,USR_6395,2568.86,23,1,1,1,10786.98,0,1
TXN_BBCE0B4145,USR_9748,1399.61,0,0,1,0,2201.3,0,1
TXN_DAFA5066D0,USR_1125,80.14,7,0,0,0,11.61,0,0
TXN_AD419B19F5,USR_4097,9.75,19,0,0,0,9.55,0,0
TXN_7D61890C9A,USR_8885,3.89,7,0,0,0,3.29,0,0
TXN_876F71A772,USR_3673,6.44,14,0,0,0,25.29,0,0
TXN_C98FF38831,USR_7035,1974.7,0,1,1,1,6145.72,1,1
TXN_7D0FE5144A,USR_1764,113.28,8,1,0,0,18.31,0,0
